List_price,Address,City,State,Beds,Baths,Living_sqft,Property_Type,Year_Built,Est__Mo__Payment,Price_Sq_Ft_,Drought_Score,Walk_score,Neighbourhood_Homes,Transit_score,Groceries_stores,Services,Emergency,Shopping,Food_and_Drink,Competitive_Score,has_supercenter,has_major_indian_grocery,has_major_entertainment,has_indian_restaurant,has_chinese_restaurant,has_mexican_restaurant,has_boba,has_starbucks,property_url,has_mall,Zipcode,No_of_Schools,Average_rating,County
1599000.0,40519 Blacow Rd,FREMONT,CA,4.0,3.0,1763.0,Single,1960.0,8947.0,907.0,66.0,54,29.0,54.0,4,71,7,14,53,90.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/40519-Blacow-Rd-94538/home/1953063,1,94538,3.0,6.666666666666667,Alameda
799000.0,39951 Fremont Blvd #325,FREMONT,CA,2.0,2.0,1465.0,Condo,1987.0,4471.0,545.0,66.0,57,11.0,57.0,10,63,4,13,48,90.0,1,1,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/39951-Fremont-Blvd-94538/unit-325/home/1511710,0,94538,3.0,6.333333333333333,Alameda
1480000.0,40219 Laiolo Rd,FREMONT,CA,3.0,2.0,1169.0,Single,1959.0,8282.0,1266.0,66.0,52,29.0,52.0,10,84,1,16,57,90.0,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/40219-Laiolo-Rd-94538/home/1109299,0,94538,3.0,6.0,Alameda
1590000.0,5428 Twilight Cmn,FREMONT,CA,3.0,2.5,1658.0,Single,1989.0,8947.0,959.0,66.0,30,28.0,52.0,11,86,1,17,81,93.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/5428-Twilight-Cmn-94555/home/1433676,0,94555,3.0,8.0,Alameda
605000.0,39975 Cedar Blvd #143,NEWARK,CA,2.0,2.0,1071.0,Condo,1985.0,3852.0,565.0,66.0,76,9.0,56.0,6,52,7,16,69,96.0,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Newark/39975-Cedar-Blvd-94560/unit-143/home/1158407,1,94560,3.0,8.0,Alameda
1319000.0,43402 Lindenwood St,FREMONT,CA,3.0,3.0,1450.0,Single,1958.0,7381.0,910.0,66.0,45,3.0,51.0,5,45,4,20,30,92.0,1,0,1,1,1,1,0,1,https://www.redfin.com//CA/Fremont/43402-Lindenwood-St-94538/home/1054002,1,94538,3.0,7.333333333333333,Alameda
799000.0,77 Shaniko Cmn,FREMONT,CA,3.0,2.0,1170.0,Condo,1987.0,4821.0,683.0,66.0,78,5.0,68.0,7,47,17,9,57,92.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/77-Shaniko-Cmn-94539/unit-20/home/1014737,0,94539,4.0,7.333333333333333,Alameda
1575000.0,2358 Velocity Cmn #306,FREMONT,CA,3.0,3.5,2392.0,Condo,2020.0,9373.0,658.0,66.0,10,8.0,68.0,7,75,3,15,68,93.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/2358-Velocity-CMN-94539/unit-306/home/166904282,1,94539,0.0,7.333333333333333,Alameda
1595000.0,4634 Sloat Rd,FREMONT,CA,4.0,2.0,1870.0,Single,1961.0,8925.0,853.0,66.0,66,6.0,66.0,14,78,2,23,77,91.0,1,1,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4634-Sloat-Rd-94538/home/2023466,0,94538,3.0,6.333333333333333,Alameda
1650000.0,5416 Cleveland Pl,FREMONT,CA,5.0,3.0,1900.0,Single,1967.0,9233.0,868.0,66.0,78,1.0,55.0,10,81,1,19,90,92.0,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/5416-Cleveland-Pl-94538/home/1771968,1,94538,3.0,7.0,Alameda
3390000.0,1616 Sioux Dr,FREMONT,CA,5.0,3.5,3529.0,Single,1988.0,18969.0,961.0,66.0,10,3.0,55.0,6,72,4,16,51,92.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/1616-Sioux-Dr-94539/home/654837,1,94539,3.0,7.333333333333333,Alameda
349000.0,3651 Knollwood Ter #112,FREMONT,CA,1.0,1.0,714.0,Condo,1984.0,2486.0,489.0,66.0,82,11.0,64.0,4,75,3,16,47,90.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/3651-Knollwood-Ter-94536/unit-112/home/1921696,0,94536,3.0,7.666666666666667,Alameda
1448000.0,60 Aventura Cmn,FREMONT,CA,3.0,2.5,1564.0,Single,2022.0,8382.0,926.0,66.0,31,5.0,59.0,5,37,6,22,39,90.0,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/60-Aventura-Cmn-94536/home/179273151,0,94536,0.0,7.666666666666667,Alameda
1300000.0,2772 Meadowlark Dr,UNION CITY,CA,3.0,2.0,1392.0,Single,1975.0,7274.0,934.0,66.0,49,24.0,55.0,12,50,3,28,66,93.0,1,0,1,1,1,1,1,0,https://www.redfin.com//CA/Union-City/2772-Meadowlark-Dr-94587/home/1025455,0,94587,3.0,6.333333333333333,Alameda
2100000.0,4696 amiens,FREMONT,CA,4.0,2.5,2035.0,Single,1986.0,11751.0,1032.0,66.0,61,28.0,61.0,11,85,1,20,88,93.0,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4696-Amiens-Ave-94555/home/2010870,0,94555,3.0,7.666666666666667,Alameda
