List_price,Address,Beds,Baths,Living_sqft,Status,Time on Redfin,Property Type,HOA Dues,Year Built,Est. Mo. Payment,Price/Sq.Ft.,Drought_Score,Walk_score,Neighbourhood_Homes,Transit_score,Groceries_stores,Services,Emergency,Shopping,Food_and_Drink,Schools,Competitive_Score,page_view_count,page_fav_count_30,page_fav_all_time_count,has_supercenter,has_major_indian_grocery,has_major_entertainment,has_indian_restaurant,has_chinese_restaurant,has_mexican_restaurant,has_boba,has_starbucks,property_url,has_healthcare_support,has_mall
"15,99,000","40519 Blacow Rd,Fremont, CA 94538",4.0,3.0,1763.0,Coming,16.0,Single,,1960.0,"$8,947",$907,66.0,54,29.0,54.0,4,71,7,14,53,"[{'Steven Millard Elementary School': '7', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",90.0,"6,441",35.0,258,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/40519-Blacow-Rd-94538/home/1953063,0,1
"7,99,000","39951 Fremont Blvd #325,Fremont, CA 94538",2.0,2.0,1465.0,,,Condo,,1987.0,"$4,471",$545,66.0,57,11.0,57.0,10,63,4,13,48,"[{'Brier Elementary School': '6', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",,,,,1,1,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/39951-Fremont-Blvd-94538/unit-325/home/1511710,0,0
"14,80,000","40219 Laiolo Rd,FREMONT, CA 94538",3.0,2.0,1169.0,Active,7.0,Single,,1959.0,"$8,282","$1,266",66.0,52,29.0,52.0,10,84,1,16,57,"[{'John Blacow Elementary School': '5', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",90.0,"5,610",162.0,314,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/40219-Laiolo-Rd-94538/home/1109299,0,0
"15,90,000","5428 Twilight Cmn,Fremont, CA 94555",3.0,2.5,1658.0,New,10.0,Single,$50/month,1989.0,"$8,947",$959,66.0,30,28.0,,11,86,1,17,81,"[{'Forest Park Elementary School': '8', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/5428-Twilight-Cmn-94555/home/1433676,0,0
"6,05,000","39975 Cedar Blvd #143,Newark, CA 94560",2.0,2.0,1071.0,New,14.0,Condo,$467/month,1985.0,"$3,852",$565,66.0,76,9.0,56.0,6,52,7,16,69,"[{'Birch Grove Primary': '-', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",96.0,"1,406",35.0,9,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Newark/39975-Cedar-Blvd-94560/unit-143/home/1158407,0,1
"13,19,000","43402 Lindenwood St,Fremont, CA 94538",3.0,3.0,1450.0,New,16.0,Single,,1958.0,"$7,381",$910,66.0,45,3.0,51.0,5,45,4,20,30,"[{'Harvey Green Elementary School': '7', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,"2,889",158.0,159,1,0,1,1,1,1,0,1,https://www.redfin.com//CA/Fremont/43402-Lindenwood-St-94538/home/1054002,0,1
"7,99,000","77 Shaniko Cmn,Fremont, CA 94539",3.0,2.0,1170.0,New,19.0,Condo,$350/month,1987.0,"$4,821",$683,66.0,78,5.0,68.0,7,47,17,9,57,"[{'James Leitch Elementary School': '-', 'Warm Springs Elementary School': '9', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/77-Shaniko-Cmn-94539/unit-20/home/1014737,0,0
"15,75,000","2358 Velocity Cmn #306,Fremont, CA 94539",3.0,3.5,2392.0,New,22.0,Condo,$560/month,2020.0,"$9,373",$658,,10,8.0,,7,75,3,15,68,[{}],93.0,911,19.0,104,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/2358-Velocity-CMN-94539/unit-306/home/166904282,0,1
"15,95,000","4634 Sloat Rd,FREMONT, CA 94538",4.0,2.0,1870.0,Active,27.0,Single,,1961.0,"$8,925",$853,66.0,66,6.0,66.0,14,78,2,23,77,"[{'Brier Elementary School': '6', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",91.0,,,,1,1,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4634-Sloat-Rd-94538/home/2023466,0,0
"16,50,000","5416 Cleveland Pl,Fremont, CA 94538",5.0,3.0,1900.0,New,4.0,Single,,1967.0,"$9,233",$868,66.0,78,1.0,55.0,10,81,1,19,90,"[{'Joseph Azevada Elementary School': '8', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",92.0,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/5416-Cleveland-Pl-94538/home/1771968,0,1
"33,90,000","1616 Sioux Dr,Fremont, CA 94539",5.0,3.5,3529.0,,,Single,,1988.0,"$18,969",$961,66.0,10,3.0,,6,72,4,16,51,"[{'Fred E. Weibel Elementary School': '7', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/1616-Sioux-Dr-94539/home/654837,0,1
"3,49,000","3651 Knollwood Ter #112,FREMONT, CA 94536",1.0,1.0,714.0,,,Condo,$533,1984.0,"$2,486",$489,66.0,82,11.0,64.0,4,75,3,16,47,"[{'Oliveira Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",90.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/3651-Knollwood-Ter-94536/unit-112/home/1921696,0,0
